ClassName,Category,ElementName,LocatorName,ExpectedText
Page_QuitTobaccoCourse,courselesson9data,Lesson-9 Page-5 text,quittobacco_pagesheader,POSITIVE THINKING
Page_QuitTobaccoCourse,courselesson9data,Lesson-9 Page-6 text,quittobacco_pagesheader,WRAPPING UP AND LOOKING AHEAD

Page_QuitTobaccoCourse,courselesson10data,Lesson-10 Course Overview Header,courseoverviewheader,Course Overview
Page_QuitTobaccoCourse,courselesson10data,Lesson-10 LinkText,tenthlessontext,Celebrating Success
Page_QuitTobaccoCourse,courselesson10data,Lesson-10 Overview Text,quittobacco_overviewheader,Overview
Page_QuitTobaccoCourse,courselesson10data,Lesson-10 Page-1 text,quittobacco_pagesheader,no_element
Page_QuitTobaccoCourse,courselesson10data,Lesson-10 Page-2 text,quittobacco_pagesheader,THE IMPORTANCE OF REWARDS
Page_QuitTobaccoCourse,courselesson10data,Lesson-10 Page-3 text,quittobacco_pagesheader,TYPES OF REWARDS
Page_QuitTobaccoCourse,courselesson10data,Lesson-10 Page-4 text,quittobacco_pagesheader,EXAMPLES OF REWARDS
Page_QuitTobaccoCourse,courselesson10data,Lesson-10 Page-5 text,quittobacco_pagesheader,CELEBRATING SUCCESS
Page_QuitTobaccoCourse,courselesson10data,Lesson-10 Page-6 text,quittobacco_pagesheader,WRAPPING UP AND LOOKING AHEAD

Page_QuitTobaccoCourse,courselesson11data,Lesson-11 Course Overview Header,courseoverviewheader,Course Overview
Page_QuitTobaccoCourse,courselesson11data,Lesson-11 LinkText,eleventhlessontext,The Future Looks Bright!
Page_QuitTobaccoCourse,courselesson11data,Lesson-11 Overview Text,quittobacco_overviewheader,Overview
Page_QuitTobaccoCourse,courselesson11data,Lesson-11 Page-1 text,quittobacco_pagesheader,no_element
Page_QuitTobaccoCourse,courselesson11data,Lesson-11 Page-2 text,quittobacco_pagesheader,IDENTIFYING WHO NEEDS HELP
Page_QuitTobaccoCourse,courselesson11data,Lesson-11 Page-3 text,quittobacco_pagesheader,YOUR POSSIBLE ROLE
Page_QuitTobaccoCourse,courselesson11data,Lesson-11 Page-4 text,quittobacco_pagesheader,IDENTIFYING OPPORTUNITIES
Page_QuitTobaccoCourse,courselesson11data,Lesson-11 Page-5 text,quittobacco_pagesheader,MAKING A DIFFERENCE
Page_QuitTobaccoCourse,courselesson11data,Lesson-11 Page-6 text,quittobacco_pagesheader,WRAPPING UP AND LOOKING AHEAD

Page_QuitTobaccoCourse,courselesson12data,Lesson-12 Course Overview Header,courseoverviewheader,Course Overview
Page_QuitTobaccoCourse,courselesson12data,Lesson-12 LinkText,twelvethlessontext,How to Avoid Relapse
Page_QuitTobaccoCourse,courselesson12data,Lesson-12 Overview Text,quittobacco_overviewheader,Overview
Page_QuitTobaccoCourse,courselesson12data,Lesson-12 Page-1 text,quittobacco_pagesheader,no_element
Page_QuitTobaccoCourse,courselesson12data,Lesson-12 Page-2 text,quittobacco_pagesheader,RELAPSE! WHAT TO DO...
Page_QuitTobaccoCourse,courselesson12data,Lesson-12 Page-3 text,quittobacco_pagesheader,RELAPSE PREVENTION: ODAT OR
Page_QuitTobaccoCourse,courselesson12data,Lesson-12 Page-4 text,quittobacco_pagesheader,RELAPSE PREVENTION: HALTS
Page_QuitTobaccoCourse,courselesson12data,Lesson-12 Page-5 text,quittobacco_pagesheader,HALTS CONTINUED
Page_QuitTobaccoCourse,courselesson12data,Lesson-12 Page-6 text,quittobacco_pagesheader,NEVER QUIT QUITTING

Page_ImprovingNutritionCourse,coursedata,Improving Nutrition Header,improvingnutritionheader,Improving Nutrition

Page_ImprovingNutritionCourse,courselesson1data,Lesson-1 Course Overview Header,courseoverviewheader,Course Overview
Page_ImprovingNutritionCourse,courselesson1data,Lesson-1 LinkText,firstlessontext,Setting the Stage
Page_ImprovingNutritionCourse,courselesson1data,Lesson-1 Overview Text,improvingnutrition_overviewheader,Overview
Page_ImprovingNutritionCourse,courselesson1data,Lesson-1 Page-1 text,improvingnutrition_pagesheader,no_element
Page_ImprovingNutritionCourse,courselesson1data,Lesson-1 Page-2 text,improvingnutrition_pagesheader,CONGRATULATIONS!
